"projectID";"topic";"title"
"813360";"MSCA-ITN-2018";"Innovative Training Networks"
"754589";"NFRP-1";"Continually improving safety and reliability of Generation II and III reactors"
"851725";"ERC-2019-STG";"ERC Starting Grant"
"725042";"ERC-2016-COG";"ERC Consolidator Grant"
"818859";"ERC-2018-COG";"ERC Consolidator Grant"
"848068";"SC1-BHC-02-2019";"Systems approaches for the discovery of combinatorial therapies for complex disorders"
"699274";"Sesar-09-2015";"Trajectory Based Operations (TBO)"
"801872";"ERC-2018-STG";"ERC Starting Grant"
"788368";"ERC-2017-ADG";"ERC Advanced Grant"
"751257";"MSCA-IF-2016";"Individual Fellowships"
"727474";"SC1-HCO-12-2016";"Digital health literacy"
"823823";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"828818";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"742480";"ERC-2016-ADG";"ERC Advanced Grant"
"888997";"MSCA-IF-2019";"Individual Fellowships"
"890768";"MSCA-IF-2019";"Individual Fellowships"
"702718";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"641382";"ERC-PoC-2014";"ERC Proof of Concept Grant"
"723951";"ERC-2016-COG";"ERC Consolidator Grant"
"792746";"MSCA-IF-2017";"Individual Fellowships"
"850997";"ERC-2019-STG";"ERC Starting Grant"
"713547";"ERC-PoC-2015";"ERC Proof of Concept Grant"
"633261";"MSCA-NIGHT-2014";"European Researchers' Night (NIGHT)"
"101003394";"WF-02-2019";"Widening Fellowships"
"101038076";"WF-03-2020";"Widening Fellowships"
"101038070";"WF-03-2020";"Widening Fellowships"
"722824";"MSCA-NIGHT-2016";"European Researchers' Night"
"818730";"MSCA-NIGHT-2018";"European Researchers' Night"
"101038058";"WF-03-2020";"Widening Fellowships"
"101003388";"WF-02-2019";"Widening Fellowships"
"857636";"WIDESPREAD-04-2019";"ERA Chairs"
"867427";"WF-01-2018";"Widening Fellowships"
"810686";"WIDESPREAD-05-2017";"Twinning"
"101003435";"WF-02-2019";"Widening Fellowships"
"864803";"JTI-CS2-2018-CfP09-LPA-01-58";"BLI configurations of classical tube and wing aircraft architecture - Wind tunnel tests insight into propulsor inlet distortion and power saving"
"101037509";"LC-GD-8-1-2020";"Innovative, systemic zero-pollution solutions to protect health, environment and natural resources from persistent and mobile chemicals"
"886840";"JTI-CS2-2019-CfP10-LPA-01-74";"UHBR Engine Studies for Aircraft Operations and Economics"
"779656";"ICT-05-2017";"Customised and low energy computing (including Low power processor technologies)"
"724029";"MG-3.6-2016";"Euro-African initiative on road safety and traffic management"
"101007598";"JTI-CS2-2020-CfP11-LPA-01-94";"Installed UHBR Nacelle Off-Design Performance Characteristics."
"689592";"PHC-21-2015";"Advancing active and healthy ageing with ICT: Early risk detection and intervention"
"777388";"INFRASUPP-02-2017";"Policy and international cooperation measures for research infrastructures"
